,Barrier,Stellar OP,Stellar OR,Data Aware
Arpanet196912,0.1024,1.138,0.0219,0.01415
Napnet,0.6209,2.753,0.05657,0.053
HiberniaIreland,1.946,8.247,0.0486,0.167
Cesnet1993,4.671,10.93,0.06768,0.3753
TLex,13.753,96.772,0.09453,0.679
Nordu1997,23.66,121.6,0.1193,1.286
HostwayInternational,63.472,265.5,0.2237,2.077
